public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,CAPEI_Median,divyield_Median,pe_exi_Median,pe_inc_Median,efftax_Median,aftret_invcapx_Median,gpm_Median,roa_Median,roe_Median,debt_invcap_Median,totdebt_invcap_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,intcov_ratio_Median,cash_ratio_Median,curr_ratio_Median
2010-04-30,Communication Services,51,0.046587,0.001783,0.271,10.027,6.51%,4.810,9.108,0.356,0.065,0.584,0.138,0.042,0.483,0.490,1.435,0.624,0.386,1.332,0.631,1.560
2010-04-30,Consumer Discretionary,597,0.105181,0.064357,0.000,13.379,1.72%,14.739,14.625,0.354,0.062,0.356,0.114,0.060,0.253,0.342,0.959,0.529,0.211,3.020,0.497,1.791
2010-04-30,Consumer Staples,171,0.039300,-0.013430,0.150,18.414,2.49%,14.710,14.820,0.350,0.114,0.346,0.150,0.134,0.243,0.348,0.952,0.508,0.232,8.003,0.352,1.825
2010-04-30,Energy,225,0.086164,0.042072,0.000,10.084,1.09%,-1.478,-1.399,0.324,0.000,0.296,0.083,-0.021,0.283,0.313,0.885,0.521,0.226,0.272,0.365,1.545
2010-04-30,Financials,773,0.105155,0.020363,0.361,12.446,2.28%,9.156,9.153,0.297,0.000,0.403,0.014,0.030,0.367,0.622,8.494,0.895,0.118,4.133,0.858,2.031
2010-04-30,Health Care,590,0.063364,-0.023487,0.000,-2.385,1.55%,-1.023,-0.869,0.331,0.001,0.422,0.062,0.002,0.031,0.107,0.556,0.396,0.067,2.828,1.488,2.709
2010-04-30,Industrials,566,0.078652,0.045752,0.000,17.206,1.58%,13.573,13.678,0.332,0.054,0.282,0.101,0.046,0.203,0.275,0.911,0.498,0.177,3.557,0.466,2.097
2010-04-30,Information Technology,702,0.052153,0.021255,0.000,13.918,1.64%,4.961,5.679,0.289,0.000,0.490,0.069,0.011,0.004,0.031,0.497,0.350,0.023,2.582,1.353,2.507
2010-04-30,Materials,186,0.068449,0.006309,0.153,16.572,1.40%,12.532,12.239,0.325,0.071,0.258,0.105,0.062,0.298,0.341,1.121,0.542,0.220,2.953,0.511,2.302
2010-04-30,Utilities,102,0.041688,0.030193,0.616,16.405,4.22%,14.914,14.914,0.340,0.071,0.249,0.086,0.073,0.502,0.578,2.332,0.698,0.345,2.800,0.129,1.099
2010-05-31,Communication Services,51,-0.056760,-0.041714,0.285,9.247,7.05%,9.765,10.961,0.349,0.051,0.581,0.152,0.028,0.464,0.491,1.560,0.629,0.391,1.601,0.670,1.531
2010-05-31,Consumer Discretionary,594,-0.080405,-0.070761,0.000,13.142,1.88%,12.787,12.607,0.354,0.063,0.357,0.122,0.066,0.248,0.334,0.956,0.528,0.207,3.456,0.490,1.776
2010-05-31,Consumer Staples,169,-0.067460,-0.048277,0.152,16.260,2.71%,12.452,12.297,0.348,0.106,0.351,0.154,0.129,0.249,0.349,0.939,0.509,0.237,8.768,0.389,1.848
2010-05-31,Energy,223,-0.139718,-0.108655,0.000,8.871,1.19%,7.042,7.330,0.324,0.032,0.351,0.097,0.021,0.300,0.335,0.949,0.517,0.233,1.443,0.378,1.532
2010-05-31,Financials,768,-0.081686,-0.093719,0.442,12.106,2.44%,7.524,7.531,0.297,0.000,0.423,0.015,0.034,0.380,0.609,8.428,0.893,0.120,4.387,1.030,1.856
2010-05-31,Health Care,590,-0.083253,-0.069035,0.000,-2.060,1.87%,-1.033,-0.743,0.331,0.000,0.411,0.060,0.003,0.041,0.121,0.570,0.403,0.083,2.949,1.560,2.708
2010-05-31,Industrials,567,-0.079382,-0.089301,0.026,15.643,1.72%,12.381,12.225,0.330,0.059,0.283,0.103,0.058,0.206,0.290,0.932,0.508,0.178,3.911,0.457,2.075
2010-05-31,Information Technology,704,-0.070451,-0.079772,0.000,13.333,1.85%,10.600,10.817,0.283,0.016,0.496,0.082,0.031,0.005,0.038,0.495,0.344,0.027,3.819,1.337,2.541
2010-05-31,Materials,188,-0.088379,-0.087323,0.152,15.523,1.72%,12.413,11.934,0.323,0.072,0.260,0.113,0.065,0.306,0.365,1.152,0.540,0.243,3.914,0.462,2.296
2010-05-31,Utilities,102,-0.059026,-0.057270,0.617,15.378,4.44%,12.865,12.865,0.340,0.069,0.255,0.089,0.071,0.497,0.564,2.356,0.701,0.342,2.805,0.121,1.069
2010-06-30,Communication Services,50,-0.020334,-0.007764,0.279,7.609,6.95%,9.454,10.313,0.347,0.052,0.579,0.152,0.033,0.459,0.482,1.505,0.625,0.388,1.562,0.711,1.584
2010-06-30,Consumer Discretionary,590,-0.116844,-0.102176,0.000,11.896,2.10%,10.984,10.984,0.351,0.063,0.359,0.124,0.069,0.246,0.335,0.961,0.529,0.206,3.452,0.467,1.756
2010-06-30,Consumer Staples,171,-0.036108,-0.026596,0.161,15.332,2.72%,12.000,11.992,0.347,0.106,0.354,0.154,0.129,0.247,0.326,0.937,0.498,0.228,9.391,0.403,1.868
2010-06-30,Energy,223,-0.065810,-0.058509,0.000,8.022,1.19%,6.463,6.586,0.324,0.032,0.359,0.097,0.022,0.302,0.341,0.952,0.519,0.234,1.443,0.371,1.535
2010-06-30,Financials,765,-0.083516,-0.068597,0.443,11.402,2.61%,7.520,7.529,0.298,0.000,0.424,0.015,0.035,0.378,0.608,8.421,0.893,0.120,4.390,0.998,2.007
2010-06-30,Health Care,592,-0.071098,-0.022163,0.000,-1.837,1.81%,-1.065,-0.645,0.331,0.000,0.414,0.059,0.004,0.041,0.122,0.570,0.403,0.083,2.772,1.511,2.696
2010-06-30,Industrials,558,-0.073640,-0.069365,0.034,14.495,1.90%,11.526,11.492,0.329,0.061,0.283,0.105,0.060,0.206,0.287,0.930,0.502,0.179,4.135,0.467,2.068
2010-06-30,Information Technology,714,-0.064157,-0.061837,0.000,13.125,2.06%,10.467,10.658,0.283,0.018,0.496,0.083,0.034,0.005,0.040,0.510,0.351,0.029,3.681,1.325,2.541
2010-06-30,Materials,191,-0.100176,-0.079788,0.152,13.700,2.03%,11.667,11.560,0.323,0.071,0.259,0.111,0.063,0.305,0.366,1.145,0.540,0.241,3.860,0.456,2.293
2010-06-30,Utilities,103,-0.012190,-0.009108,0.617,15.099,4.47%,12.764,12.764,0.340,0.069,0.255,0.088,0.070,0.498,0.566,2.357,0.702,0.342,2.799,0.122,1.068
2010-07-31,Communication Services,50,0.083798,0.092673,0.279,8.098,6.74%,9.024,11.028,0.347,0.052,0.579,0.152,0.033,0.459,0.482,1.505,0.625,0.388,1.562,0.711,1.584
2010-07-31,Consumer Discretionary,589,0.071364,0.079737,0.000,12.097,1.94%,11.544,11.526,0.351,0.065,0.364,0.126,0.070,0.246,0.336,0.962,0.530,0.206,3.467,0.485,1.756
2010-07-31,Consumer Staples,170,0.072234,0.062996,0.164,16.309,2.66%,13.258,12.844,0.347,0.104,0.349,0.153,0.128,0.249,0.341,0.938,0.509,0.231,9.030,0.402,1.853
2010-07-31,Energy,223,0.078410,0.079549,0.000,8.833,1.16%,6.131,6.234,0.324,0.032,0.351,0.096,0.021,0.302,0.341,0.938,0.517,0.235,1.271,0.371,1.530
2010-07-31,Financials,754,0.031358,0.065147,0.443,11.801,2.40%,7.692,7.701,0.298,0.000,0.427,0.015,0.036,0.373,0.605,8.396,0.893,0.121,4.677,0.998,2.007
2010-07-31,Health Care,587,0.025563,0.011785,0.000,-1.822,1.97%,-1.096,-0.731,0.330,0.000,0.408,0.057,0.002,0.038,0.122,0.577,0.405,0.083,2.691,1.506,2.686
2010-07-31,Industrials,557,0.073304,0.097808,0.034,15.481,1.76%,12.801,12.801,0.329,0.061,0.283,0.105,0.060,0.206,0.287,0.932,0.504,0.180,4.042,0.465,2.074
2010-07-31,Information Technology,710,0.061828,0.075396,0.000,12.984,1.86%,12.260,12.260,0.278,0.019,0.496,0.085,0.036,0.005,0.039,0.510,0.350,0.028,4.104,1.324,2.552
2010-07-31,Materials,193,0.099499,0.122445,0.152,14.676,1.83%,13.431,13.295,0.324,0.073,0.257,0.112,0.073,0.307,0.368,1.165,0.543,0.243,3.914,0.462,2.285
2010-07-31,Utilities,103,0.054061,0.072756,0.617,15.933,4.28%,13.704,13.704,0.340,0.069,0.255,0.088,0.070,0.498,0.566,2.357,0.702,0.342,2.799,0.122,1.068
2010-08-31,Communication Services,49,-0.068996,0.013450,0.281,7.553,6.78%,9.447,9.973,0.347,0.062,0.582,0.150,0.034,0.479,0.490,1.474,0.627,0.391,1.805,0.712,1.563
2010-08-31,Consumer Discretionary,586,-0.092094,-0.047756,0.000,11.039,2.22%,10.662,10.690,0.350,0.075,0.364,0.129,0.085,0.236,0.330,0.967,0.523,0.197,3.928,0.524,1.777
2010-08-31,Consumer Staples,171,-0.055623,-0.016219,0.152,15.478,2.75%,12.916,12.563,0.343,0.107,0.354,0.153,0.127,0.227,0.315,0.930,0.497,0.221,8.660,0.425,1.923
2010-08-31,Energy,224,-0.070710,-0.040494,0.000,8.261,1.28%,6.768,6.768,0.324,0.039,0.366,0.100,0.034,0.289,0.317,0.925,0.509,0.223,1.686,0.388,1.514
2010-08-31,Financials,755,-0.073996,-0.087682,0.427,10.984,2.57%,8.139,8.191,0.297,0.000,0.452,0.015,0.040,0.361,0.587,8.280,0.892,0.115,4.668,0.981,2.106
2010-08-31,Health Care,587,-0.055562,-0.020935,0.000,-1.833,2.02%,-0.931,-0.650,0.328,0.000,0.412,0.058,-0.008,0.033,0.114,0.550,0.401,0.084,2.410,1.672,2.854
2010-08-31,Industrials,557,-0.083176,-0.074941,0.050,14.294,1.90%,11.568,11.569,0.329,0.066,0.291,0.111,0.068,0.203,0.276,0.896,0.498,0.175,4.463,0.456,2.057
2010-08-31,Information Technology,710,-0.059532,-0.067658,0.000,12.149,1.99%,12.169,12.226,0.271,0.031,0.498,0.096,0.049,0.005,0.039,0.510,0.351,0.027,5.204,1.306,2.526
